Produto,Referência,Preço venda,Preço revenda,Quantidade,Codigo de barras
JMQ-12211 PISTOLA DE MASSAGEM,JMQ-12211,80,110,2,7898070367467
AM-8508 - CAIXA DE SOM BLUETOOTH COM DOIS MICROFONES SEM FIO 100W,AM-8508,170,230,2,7898823985085
AM-8502 - CAIXA DE SOM BLUETOOTH COM DOIS MICROFONES SEM FIO,AM-8502,170,230,2,7898809185027
SK-230333 - KIT TALHERES AÇO INOX/PLAST ELBA C/25 PEÇAS BRANCO,SK-230333,28,45,2,7908224348126
"MALA P/ VIAGEM KIT 4 PÇS 26210-24""/25744",26210-24-25744 - MALA,650,900,2,7908224350655
"MALA P/ VIAGEM KIT COM 4 PÇS 25746-24""/25744",25746-24-25744 - MALA,750,1000,2,7908224342094
KV-11215 - MINI CAIXA DE SOM INOVA,KV-11215,70,110,2,7898070364374
RAD-8620 - MINI CAIXA DE SOM INOVA,RAD-8620,30,45,2,7908346247130
S6900- MINI CAIXA DE SOM BLUETOOTH SOONBOX,S6900,80,130,2,1000000942590
PEI-ME01 - MOUSE SEM FIO DE MODO DUPLO PEINING,PEI-ME01,20,30,2,7893008813467
PEI-J40 - CABO DE DADOS TPC/TPC 6A,PEI-J40,10,20,2,7893008812804
RAD-8711 RÁDIO RETRÔ DA BASIKE,RAD-8711,60,95,2,7893595552978
KA-0030- CAIXA DE SOM KAPBOM XTREEM3,KA-0030,150,250,2,1000001026411
FON-760 - FONE DE OUVIDO SEM FIO INOVA,FON-760,45,70,2,4968929213375
T-23 - FONTE DE ALIMENTAÇÃO LENOVO,T-23,40,60,2,1000001110851
M-996W - MICROFONE SEM FIO,M-996W,55,80,2,8878921996601
A6S/30116/30168 - FONE DE OUVIDO AIRDOTS S/ VISOR (SÓ ATACADO),A6S/30116/30168,22,0,2,6934177708800
KV-342 - CAIXA DE SOM PORTÁTIL C/ FUNÇÃO RÁDIO,KV-342,700,1000,2,7898070367634
M10 - FONE BLUETOOTH,M10,35,55,2,1000001387314
FON-7425 - FONE DE OUVIDO,FON-7425,65,80,2,
CELL-11053 - PILHA BOX C/60 UN,CELL-11053,28,50,2,7899085489236
CANETA TOUCH IPH C/BARRA 12145/A1603,12145/A1603,50,90,2,
"MD-30257 SUPORTE DE BRAÇO PARA TV 32"" Á 80""",MD-30257,250,400,2,7893095423020
LAVADOURA DE PRESSÃO LE-1806,LE-1806,230,300,3,7908125207508
WU-097 GARRAFA TERMICA,WU-097,38,60,3,7898070367320
,,,,,
Produto,Referência,Preço venda,Preço revenda,Qtde,Cód. barras
WU-082 GARRAFA TÉRMICA COM SENSOR,WU-082,20,30,3,7899085715984
LE-MR69 MINI ASPIRADOR PORTÁTIL,LE-MR69,35,50,3,7898202304117
CADEIRA PARA CAMPING LE-5405,LE-5405,90,130,3,7908044605478
KV-9887 - MINI CAIXA DE SOM INOVA,KV-9887,60,100,3,7899085586577
GARRAFA TÉRMICA INOX 500 ML 25957,25957,20,30,3,7908224345521
GARRAFA TÉRMICA INOX 500 ML 25925,25925,30,40,3,7908224345163
PEI-PD002-I - CARREGADOR 20W TPC+IPH,PEI-PD002-I,26,40,3,7893008812095
RAD-8665 - CAIXA DE SOM PORTÁTIL SEM FIO COM MICROFONE,RAD-8665,40,65,3,7908346275751
WUP-945 - CARREGADOR PORTÁTIL 30000MAH PEINING,WUP-945,143,220,3,7869029029453
CAR-5216 3.1A-V8 CARREGADOR INTLIGENTE BASIKE,CAR-5216 3.1A-V8,9,20,3,7893595553265
TY-12289 - PROJETOR MULTIMIDIA ULTRA HD,TY-12289,450,700,3,7893095164206
PEI-J41 - CABO DE DADOS TPC/IPH 6A,PEI-J41,12,25,3,7893008812811
CALC-7080- CALCULADORA ELETRÔNICA,CALC-7080,13,22,3,7899085124199
POW-1013 - POWER BANK 5000MAH,POW-1013,18,30,3,7899085588571
CAM-7276 - CAMERA DE SEGURANÇA,CAM-7276,150,200,3,7897473118188
MOU-8609 - MOUSE INOVA S/ FIO,MOU-8609,15,30,3,7908346264472
KV-461 - REFLETOR LED,KV-461,68,95,3,1100001189397
KV-462 - REFLETOR LED,KV-462,100,140,3,
REM-8027 - CONTROLE TV TUBO CCE,REM-8027,3,6,3,
SL-7213 - EXTENSAO DE 3 TOMADAS,SL-7213,18,25,3,7899085123505
SL6001 - EXTENSÃO,SL6001,5,10,3,7908124260238
CABO IPHONE PROMOÇÃO,CABO IPHONE PROMOÇÃO,1,0,3,6947597815690
FON-30194 - FONE JBL (PEQUENO),FON-30194/JBL,35,0,3,7893095164121
FON-12096-BOX - FONE EARPODS IPH,FON-12096-BOX,36,0,3,1942521569262
BA-RAD015 - RÁDIO BLUETOOTH BASIKE,BA-RAD015,320,420,3,7893095511574
LE-1968 PARAFUSADEIRA/ FURADEIRA BI-VOLT 12V,LE-1968,160,220,4,7908125203562
MINI SERRA DE PODA PORTÁTIL KA-1398,KA-1398,230,320,4,7897722111625
WU-114 GARRAFA TERMICA,WU-114,38,60,4,7898070366729
WU-100 GARRAFA TERMICA,WU-100,35,50,4,1100000093084
SK-068 BOMBA DE AR,SK-068,230,320,4,1100000127574
LAN-30199 LANTERNA TÁTICA MULTI-FUNÇÕES,LAN-30199,28,50,4,7899085714932
